"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04360","hsa04360","Axon guidance","5/36","179/7273",0.00173326526672847,0.136907061518751,0.12471291029036,"5361/84612/6608/658/5727",5
"hsa04340","hsa04340","Hedgehog signaling pathway","3/36","49/7273",0.00175521873741988,0.136907061518751,0.12471291029036,"6608/596/5727",3
"hsa04915","hsa04915","Estrogen signaling pathway","4/36","137/7273",0.00444751064329944,0.173452915088678,0.158003667590901,"3881/107/2353/596",4
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","4/36","137/7273",0.00444751064329944,0.173452915088678,0.158003667590901,"10365/658/2353/596",4
"hsa04630","hsa04630","JAK-STAT signaling pathway","4/36","150/7273",0.00613030768076853,0.191265599639978,0.174229797242895,"3976/50604/11009/596",4
"hsa04260","hsa04260","Cardiac muscle contraction","3/36","86/7273",0.00860280100913136,0.22010692718758,0.200502261608119,"4633/1345/341947",3
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","5/36","278/7273",0.0112307062671009,0.22010692718758,0.200502261608119,"3976/26525/658/50604/11009",5
"hsa01522","hsa01522","Endocrine resistance","3/36","95/7273",0.0112875347275682,0.22010692718758,0.200502261608119,"107/2353/596",3
"hsa04972","hsa04972","Pancreatic secretion","3/36","100/7273",0.0129661784005415,0.224747092276053,0.20472913264013,"1811/1360/107",3
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","3/36","105/7273",0.0147809379155224,0.23058263148215,0.210044907220582,"107/2353/596",3
"hsa04725","hsa04725","Cholinergic synapse","3/36","112/7273",0.0175530634761787,0.248934354753079,0.226762064046327,"107/2353/596",3
"hsa04024","hsa04024","cAMP signaling pathway","4/36","216/7273",0.021187312704705,0.275435065161165,0.250902387292559,"107/2353/5727/5465",4
"hsa04913","hsa04913","Ovarian steroidogenesis","2/36","48/7273",0.0232996808091457,0.279596169709749,0.254692867144508,"5321/107",2
"hsa04371","hsa04371","Apelin signaling pathway","3/36","136/7273",0.0291359827947732,0.306457707110235,0.27916187894657,"4633/10365/107",3
"hsa04978","hsa04978","Mineral absorption","2/36","58/7273",0.0331099359251371,0.306457707110235,0.27916187894657,"1811/795",2
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","3/36","147/7273",0.0355228584020291,0.306457707110235,0.27916187894657,"4633/107/596",3
"hsa00830","hsa00830","Retinol metabolism","2/36","61/7273",0.0363193577804293,0.306457707110235,0.27916187894657,"157506/1548",2
"hsa04932","hsa04932","Non-alcoholic fatty liver disease (NAFLD)","3/36","149/7273",0.036756332517677,0.306457707110235,0.27916187894657,"1345/5465/341947",3
"hsa05217","hsa05217","Basal cell carcinoma","2/36","62/7273",0.0374150767497236,0.306457707110235,0.27916187894657,"6608/5727",2
"hsa04921","hsa04921","Oxytocin signaling pathway","3/36","153/7273",0.0392894496295173,0.306457707110235,0.27916187894657,"5321/107/2353",3
"hsa05031","hsa05031","Amphetamine addiction","2/36","68/7273",0.0442512965576477,0.328723917285383,0.299444863923932,"2354/2353",2
"hsa00983","hsa00983","Drug metabolism - other enzymes","2/36","75/7273",0.0527644501319799,0.366432578745921,0.333794859181507,"9/1548",2
"hsa05204","hsa05204","Chemical carcinogenesis","2/36","76/7273",0.054025316097155,0.366432578745921,0.333794859181507,"9/1548",2
"hsa05210","hsa05210","Colorectal cancer","2/36","86/7273",0.067205365815339,0.410803091145649,0.374213342136725,"2353/596",2
"hsa04657","hsa04657","IL-17 signaling pathway","2/36","93/7273",0.0770048733216118,0.410803091145649,0.374213342136725,"2354/2353",2
"hsa04912","hsa04912","GnRH signaling pathway","2/36","93/7273",0.0770048733216118,0.410803091145649,0.374213342136725,"5321/107",2
"hsa04974","hsa04974","Protein digestion and absorption","2/36","93/7273",0.0770048733216118,0.410803091145649,0.374213342136725,"1308/1360",2
"hsa05414","hsa05414","Dilated cardiomyopathy (DCM)","2/36","95/7273",0.0798846067862475,0.410803091145649,0.374213342136725,"4633/107",2
"hsa04015","hsa04015","Rap1 signaling pathway","3/36","208/7273",0.0826560524525051,0.410803091145649,0.374213342136725,"84612/107/51466",3
"hsa04713","hsa04713","Circadian entrainment","2/36","97/7273",0.0827981412006923,0.410803091145649,0.374213342136725,"107/2353",2
"hsa05231","hsa05231","Choline metabolism in cancer","2/36","97/7273",0.0827981412006923,0.410803091145649,0.374213342136725,"5321/2353",2
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","2/36","98/7273",0.0842673007478254,0.410803091145649,0.374213342136725,"5321/107",2
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","2/36","100/7273",0.0872298459783363,0.41235927189759,0.375630915696185,"50604/11009",2
"hsa05142","hsa05142","Chagas disease (American trypanosomiasis)","2/36","102/7273",0.0902239578728977,0.413968747887413,0.377097037549263,"107/2353",2
"hsa00670","hsa00670","One carbon pool by folate","1/36","20/7273",0.0945944294262464,0.421620885442698,0.38406760819679,"25902",1
"hsa04668","hsa04668","TNF signaling pathway","2/36","111/7273",0.10406507787841,0.44015648146551,0.40095226044429,"3976/2353",2
"hsa04714","hsa04714","Thermogenesis","3/36","231/7273",0.10509483951445,0.44015648146551,0.40095226044429,"107/1345/341947",3
"hsa04724","hsa04724","Glutamatergic synapse","2/36","113/7273",0.107217604459547,0.44015648146551,0.40095226044429,"5321/107",2
"hsa00592","hsa00592","alpha-Linolenic acid metabolism","1/36","25/7273",0.11684829178955,0.445696954775941,0.405999250301971,"5321",1
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","1/36","26/7273",0.121234806896556,0.445696954775941,0.405999250301971,"2528",1
"hsa04380","hsa04380","Osteoclast differentiation","2/36","124/7273",0.125002996388724,0.445696954775941,0.405999250301971,"2354/2353",2
"hsa04611","hsa04611","Platelet activation","2/36","124/7273",0.125002996388724,0.445696954775941,0.405999250301971,"5321/107",2
"hsa04926","hsa04926","Relaxin signaling pathway","2/36","129/7273",0.133314390425116,0.445696954775941,0.405999250301971,"107/2353",2
"hsa00591","hsa00591","Linoleic acid metabolism","1/36","29/7273",0.134267639110098,0.445696954775941,0.405999250301971,"5321",1
"hsa05162","hsa05162","Measles","2/36","130/7273",0.134992157467562,0.445696954775941,0.405999250301971,"2353/596",2
"hsa04270","hsa04270","Vascular smooth muscle contraction","2/36","131/7273",0.136674882537607,0.445696954775941,0.405999250301971,"5321/107",2
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","1/36","30/7273",0.13857000865621,0.445696954775941,0.405999250301971,"55808",1
"hsa00190","hsa00190","Oxidative phosphorylation","2/36","133/7273",0.14005486208047,0.445696954775941,0.405999250301971,"1345/341947",2
"hsa04210","hsa04210","Apoptosis","2/36","134/7273",0.141751945931227,0.445696954775941,0.405999250301971,"2353/596",2
"hsa04215","hsa04215","Apoptosis - multiple species","1/36","31/7273",0.142851588069212,0.445696954775941,0.405999250301971,"596",1
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/36","138/7273",0.148585616307702,0.454497179294148,0.414015649154588,"3976/658",2
"hsa05012","hsa05012","Parkinson disease","2/36","141/7273",0.153756167034403,0.461268501103208,0.42018385728025,"1345/341947",2
"hsa04072","hsa04072","Phospholipase D signaling pathway","2/36","145/7273",0.160706509657763,0.469310463553227,0.427509531576826,"5321/107",2
"hsa04217","hsa04217","Necroptosis","2/36","146/7273",0.162453621999194,0.469310463553227,0.427509531576826,"5321/596",2
"hsa04390","hsa04390","Hippo signaling pathway","2/36","152/7273",0.173010456640974,0.490720567927125,0.447012663091511,"84612/658",2
